Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,82.89841409,82.13513949,81.54009096,81.20831581,79.03553564,79.52740701,77.76031621,76.74853055,76.49283569,74.04156474,73.00560417,70.16218501,70.4330865,68.88671842,69.02946015,68.6251945,70.79557528,71.19941336,71.01599304,73.36151628,75.42964986,76.42146778,75.52487449,75.2511176,77.61427162,78.32451481,78.72109827,79.64055612,79.09073167,77.13280234,93.7717913,98.80136462,94.38918094,102.2804557,103.5271956,102.9804956,100.9875485,98.71380099,94.45561538,101.542166,100.2262782,90.28344167,84.58330636,86.77752635,86.41347187,84.86799163,84.53311183,82.57952677,82.21462144,83.32358025,78.4813453,78.59277294,74.4807087,71.66384724,72.9796372,70.24611323,71.73671033,,,,
Afghanistan,AFG,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,30.97345133,35.82089552,43.08510638,37.30569948,35.80786026,37.81818182,39.26174497,31.14285714,27.24550898,38.52140078,26.09649123,18.95551257,12.44019139,19.01565996,15.86998088,18.79310345,21.40221402,18.86503067,26.65534805,15.71194763,17.91666667,16.8207024,18.32460733,15.26162791,13.86010363,11.38975967,13.53558926,14.20187793,12.78772379,12.15323646,9.41527027,9.100583942,1.538601399,1.348161765,1.128307692,1.17344,0.621525424,0.333363636,0.349238095,0.447195122,0.476233766,8.601604938,5.000454545,6.790740741,8.112831858,6.484329268,8.316907216,31.69779661,24.558041,25.60788333,26.51913495,35.11466558,35.09090909,46.32226792,56.06143406,49.75003755,65.35100135,,,,
,AFW,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,18.79447468,17.75518185,17.86253776,13.44137274,13.21447299,9.876086554,8.646876079,3.884668508,0.44375416,0.50965251,0.805964135,1.207105982,1.534769153,1.220988369,0.9472495,0.895850796,1.05383625,0.97418653,0.747617884,0.4885872,0.552383777,0.401180834,0.31190821,0.574112735,0.619902121,0.762607626,0.649207746,0.744071954,0.575727607,0.755052187,0.459340428,0.444240088,0.322041402,0.238985923,0.284288897,0.283116336,0.24970137,0.228331258,0.257157274,0.242394915,0.196375199,0.185999078,0.495910789,0.451101325,0.527794243,0.416999036,0.478689381,0.652814477,0.604961929,0.763380969,0.668135143,0.780212766,0.732431496,0.666588364,0.927652691,1.031379364,1.296755843,,,,
Angola,AGO,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,22.66666667,13.70967742,7.763975155,1.910828025,6.28742515,4.62962963,5.660377358,5.535055351,6.140350877,3.289473684,1.330603889,0.860215054,0.16273393,0.450788881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Albanie,ALB,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,16.12318841,14.14790997,14.73214286,13.55633803,16.54545455,18.21247892,18.67816092,19.5622435,19.2124105,21.24293785,23.80019589,22.74641955,19.1682911,22.10672211,27.84810127,27.45411014,25.7037037,29.74358974,32.74985884,35.37941034,44.96453901,36.06393606,39.43803312,40.70158578,43.4864105,47.27780363,46.06281293,50.19704433,54.85485485,45.18367347,41.33709091,36.04545012,35.68776786,29.05256039,7.882336449,8.27425641,5.770406091,2.973243243,3.055833333,3.704040404,2.197886435,2.505403727,2.249093333,2.052092457,1.965990676,1.801965602,1.810864198,1.737914692,2.462254197,8.997731481,9.367663755,10.62265873,13.69120087,11.48329854,13.41756705,4.484299803,0.297525355,,,,
Andorre,AND,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Le monde arabe,ARB,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,5.029178415,4.342468165,2.924798335,2.373759171,2.655519134,1.896488438,1.755334974,1.953085926,1.658876967,1.511605399,1.755949878,1.383303133,1.317514155,1.160846954,1.387239299,2.121615304,1.378697348,1.338748074,1.119118564,1.100393749,1.070026225,1.4129241,1.579319069,1.627269488,1.588380758,1.393525911,1.519326772,1.662081418,1.515151515,1.578409518,1.701440984,1.594131533,1.379892923,1.458349563,1.534708109,1.438851484,1.666171047,1.509577122,1.667424518,1.601267305,1.792883841,1.959317181,2.013345688,1.894785844,1.860030047,1.772720558,1.796577037,1.726609843,1.596509411,1.330727305,1.449762054,1.093966445,1.238015448,1.305859121,1.535535869,1.476280739,1.436557112,,,,
Émirats arabes unis,ARE,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072380012,0.366251529,0.407326379,0.433451537,0.473039216,0.878558373,0.389839775,0.882709347,0.662570302,1.522473898,1.007587181,2.984015251,3.645089625,4.071119996,3.350644712,3.502273639,,,,
Argentine,ARG,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,8.0078125,6.92125815,3.742402513,4.605359496,4.593011779,4.422849312,4.100360088,4.486964306,3.429056744,3.352617602,3.975711373,3.294301971,3.172537216,3.06408857,3.526206738,3.789400494,3.248566809,2.685003274,3.737048946,3.256152903,2.637169932,2.900061092,2.574102964,2.084204656,2.017281146,2.759450297,3.258383476,3.289200829,3.314616917,3.542012464,3.077870593,2.555619066,2.613185841,2.074102495,3.131819699,3.254257095,2.451234197,2.183149544,2.134057971,1.606823161,1.25652642,1.03370225,0.936494424,1.551247273,1.551075079,2.235486605,2.489981979,2.238790564,2.307276836,2.054302591,2.3750226,2.666570574,2.807813253,2.301839674,2.32155689,2.153813209,1.633713371,,,,
Arménie,ARM,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.434655647,0.145515873,3.479635036,0.208945869,0.5707393,0.439161677,0.422708934,0.235819936,0,0,1.527916667,2.095428571,0,0,0.081670379,0.141038462,0.128892794,0,0.084493088,0.148461538,0.128216783,0.066672727,0,0.068670412,0.072327416,,,,
Samoa américaines,ASM,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-et-Barbuda,ATG,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Australie,AUS,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,66.86484014,66.25647668,64.83406097,63.13019491,61.65416064,58.79107554,59.38442785,58.38132252,56.93506211,54.85899881,50.37013116,48.64864865,49.40042378,46.6566588,49.47449045,49.47252106,51.0448892,51.25951963,51.56289708,52.37379969,53.49347154,52.6313276,52.78252017,54.39462833,54.12275263,56.29484373,56.07817968,57.59797254,57.67885979,58.29383886,54.24962026,55.74543727,56.35778357,55.97708621,54.23980802,53.00471437,55.43891018,56.67670828,56.58411768,56.94838668,56.07162392,56.10629058,56.12466689,53.81996278,53.70543215,54.86556846,55.83018744,53.81603446,53.60804762,54.47994911,53.25788537,51.60339814,50.66328797,46.09782635,44.18978885,45.00333723,44.95217106,,,,
Autriche,AUT,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,58.60797145,55.47243641,53.38524767,53.02339413,48.66290019,47.0808527,42.93853914,39.44398569,36.35812624,34.32064326,35.14178241,28.87576461,27.84521013,26.37288962,28.91781521,26.79835502,24.44444444,22.32731068,22.3462618,23.45656963,27.15227145,26.10570327,26.24914908,27.71585779,30.92229094,30.47529664,27.2511527,25.64933003,26.80461983,25.60645074,26.96601167,26.33636815,22.10882435,19.79418685,19.92346715,21.60161491,20.45383667,21.96659763,19.11466986,19.51274385,21.88194082,21.10779414,20.99128874,21.00423717,20.11528496,20.06172219,20.86379487,20.62044076,20.2610434,17.0371484,18.63901086,19.41194961,18.90664875,19.05724563,18.41485885,19.42377672,17.97344849,,,,
Azerbaïdjan,AZE,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14792918,0.020554933,0.00770702,0.032047192,0.036324913,0.037162402,0.009309469,0,0,0,0,0,0,0,0,0.07997819,0.049587559,0.058345267,0.09110559,0.064198179,0.047685306,0.035046193,0.022476249,0.034196456,0.011227802,,,,
Burundi,BDI,Émissions de CO2 attribuables à la consommation de combustibles solides (% du total),EN.ATM.CO2E.SF.ZS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571428571,3.333333333,5,4.651162791,9.302325581,8.928571429,8.333333333,6.349206349,7.8125,10.29411765,8.064516129,6.849315068,7.72,6.377391304,9.1675,8.730952381,8.730952381,8.334090909,8.334090909,7.97173913,7.97173913,3.188695652,2.820769231,5.238571429,5.000454545,4.314117647,4.58375,4.58375,7.72,5.79,7.334,7.334,5.7296875,2.973243243,7.522051282,5.366341463,3.761025641,1.788780488,3.188695652,,,,
